id,entropy,num_rākau,rākau,description
800d23b5-574c-46d3-94cf-1066082e9d7d,3.0,2,"[{""color"": ""blue"", ""height"": 4, ""location"": 3, ""selected"": false}, {""color"": ""white"", ""height"": 8, ""location"": 5, ""selected"": true}]",te rākau mā
659289fa-7473-4617-a8f0-61324cc0e3b1,2.0,2,"[{""color"": ""blue"", ""height"": 1, ""location"": 8, ""selected"": true}, {""color"": ""green"", ""height"": 1, ""location"": 14, ""selected"": true}]",ngā rākau
7629eca4-df36-4921-973b-0ca7859c5018,3.0,2,"[{""color"": ""blue"", ""height"": 1, ""location"": 4, ""selected"": true}, {""color"": ""green"", ""height"": 9, ""location"": 18, ""selected"": false}]",te rākau iti
89413927-94ca-4078-8198-85b957338400,3.0,2,"[{""color"": ""green"", ""height"": 2, ""location"": 14, ""selected"": false}, {""color"": ""white"", ""height"": 8, ""location"": 5, ""selected"": true}]",te rākau mā
eb110390-7be8-4d7a-93e0-211c33c033f1,3.0,2,"[{""color"": ""black"", ""height"": 10, ""location"": 6, ""selected"": true}, {""color"": ""white"", ""height"": 8, ""location"": 14, ""selected"": true}]",ngā rākau
90be1900-85fb-43a9-a069-c52a09ff6625,3.0,2,"[{""color"": ""pink"", ""height"": 6, ""location"": 2, ""selected"": true}, {""color"": ""black"", ""height"": 10, ""location"": 13, ""selected"": true}]",ngā rākau
790e3c5b-7440-4ebb-a345-233019ce1aba,2.0,2,"[{""color"": ""white"", ""height"": 6, ""location"": 2, ""selected"": false}, {""color"": ""white"", ""height"": 7, ""location"": 4, ""selected"": true}]",te rākau nui
1ca6b159-3ef7-4c37-85de-2d08247afd34,3.0,2,"[{""color"": ""yellow"", ""height"": 7, ""location"": 11, ""selected"": true}, {""color"": ""blue"", ""height"": 4, ""location"": 1, ""selected"": true}]",ngā rākau
3d065bb7-10bf-4c75-bd90-157667045690,3.0,2,"[{""color"": ""brown"", ""height"": 8, ""location"": 12, ""selected"": true}, {""color"": ""yellow"", ""height"": 5, ""location"": 13, ""selected"": true}]",ngā rākau
e1d5356d-ebbf-4c6a-86ea-b93a36c3e1e0,3.0,2,"[{""color"": ""white"", ""height"": 3, ""location"": 13, ""selected"": true}, {""color"": ""pink"", ""height"": 9, ""location"": 7, ""selected"": true}]",ngā rākau
5d76f61a-3209-49f2-889b-945648dcbc97,3.0,2,"[{""color"": ""black"", ""height"": 1, ""location"": 2, ""selected"": true}, {""color"": ""pink"", ""height"": 9, ""location"": 4, ""selected"": true}]",ngā rākau
